camp-colvos-brewing-vashon,Camp Colvos Brewing,planning,,,,Vashon,Washington,,98070-6052,http://www.campcolvos.com,2069473527,2018-07-24,2018-08-11,United States,,,
captains-brewing-company-ridgefield,Captains Brewing Company,micro,,,,Ridgefield,Washington,,98642,,3609218275,2018-07-24,2018-08-11,United States,,,
cardinal-craft-brewing-academy-skagit-valley-college-burlington,Cardinal Craft Brewing Academy/ Skagit Valley College,micro,15579 Peterson Rd,,,Burlington,Washington,,98233-3625,http://www.skagit.edu,3604162537,2018-07-24,2018-08-24,United States,-122.3533958,48.4719343,
cascadia-brewing-co-olympia,Cascadia Brewing Co.,micro,211 4th Ave E,,,Olympia,Washington,,98501-1104,http://www.cascadiahomebrew.com,3609432337,2018-07-24,2018-08-24,United States,-122.900174,47.04491273,
cash-brewing-company-silverdale,Cash Brewing Company,brewpub,3388 NW Byron St Ste 100,,,Silverdale,Washington,,98383-8548,http://www.cashbrewing.com,3606337852,2018-07-24,2018-08-11,United States,,,
chainline-brewing-company-kirkland,Chainline Brewing Company,closed,503 6th St S,,,Kirkland,Washington,,98033-6717,http://www.chainlinebrewing.com,4252420923,2018-07-24,2020-10-10,United States,-122.1967583,47.6717847,
chainline-brewing-company-taproom-at-urban-kirkland,Chainline Brewing Company Taproom at Urban,micro,500 Uptown Ct Ste 210,,,Kirkland,Washington,,98033-5375,http://www.chainlinebrewing.com,4252420923,2018-07-24,2020-10-09,United States,-122.19855,47.67924,
chaos-bay-brewing-co-bremerton,Chaos Bay Brewing Co,micro,1100 Perry Ave Unit C,,,Bremerton,Washington,,98310-4945,https://www.chaosbaybrewing.com,3603772344,2020-10-11,2020-10-11,United States,-122.613427,47.570838,
chief-spring-s-fire-and-irons-brew-pub-dayton,Chief Spring's Fire and Irons Brew Pub,brewpub,148 E Main St,,,Dayton,Washington,,99328-1351,http://www.fireandironsbrewpub.com,5093824677,2018-07-24,2018-08-24,United States,-117.9811345,46.3192285,
chuckanut-brewery-north-nut-bellingham,Chuckanut Brewery - North Nut,micro,601 W Holly St,,,Bellingham,Washington,,98225-3920,http://www.chuckanutbreweryandkitchen.com,3607523377,2018-07-24,2018-08-24,United States,-122.4851164,48.7533261,
chuckanut-south-nut-burlington,Chuckanut - South Nut,micro,11937 Higgins Airport Way,,,Burlington,Washington,,98233-5312,http://chuckanutbreweryandkitchen.com/south-nut,3607523377,2018-07-24,2020-10-11,United States,-122.411968,48.473804,
circle-7-brew-works-monroe,Circle 7 Brew Works,micro,20290 Corbridge Rd SE,,,Monroe,Washington,,98272-8602,,2067470269,2018-07-24,2018-08-24,United States,-121.9584645,47.86794845,
cloudburst-brewing-seattle,Cloudburst Brewing,micro,2116 Western Ave,,,Seattle,Washington,,98121-2110,http://www.cloudburstbrew.com,2066026061,2018-07-24,2018-08-24,United States,-122.3452717,47.6116138,
cold-crash-brewing-seattle,Cold Crash Brewing,micro,4507 48th Ave SW,,,Seattle,Washington,,98116-4039,https://www.coldcrashbrewing.com,2064864644,2020-10-11,2020-10-11,United States,-122.39395,47.56329,
cole-street-brewery-enumclaw,Cole Street Brewery,micro,1627 Cole St,,,Enumclaw,Washington,,98022-3640,http://www.colestreetbrew.com,2539516656,2018-07-24,2020-10-11,United States,-121.988911,47.204514,
columbia-valley-brewing-wenatchee,Columbia Valley Brewing,micro,538 Riverside Dr,,,Wenatchee,Washington,,98801-6133,http://www.columbiavalleybrewing.com,5098889993,2018-07-24,2018-08-24,United States,-120.3140272,47.43353015,
conversations-brewing-battle-ground,Conversations Brewing,closed,,,,Battle Ground,Washington,,98604,,,2018-07-24,2020-10-10,United States,,,
counterbalance-brewing-company-seattle,Counterbalance Brewing Company,micro,503 S Michigan St Ste B,,,Seattle,Washington,,98108-3305,http://www.counterbalancebeer.com,2064533615,2018-07-24,2018-08-11,United States,,,
cowiche-creek-brewing-company-cowiche,Cowiche Creek Brewing Company,micro,514 Thompson Rd BLDG #2,,,Cowiche,Washington,,98923-9734,http://www.cowichecreekbrewing.com,5096780324,2018-07-24,2018-08-11,United States,,,
crooked-label-brewing-company-seattle,Crooked Label Brewing Company,planning,,,,Seattle,Washington,,98125-6454,,2062931956,2018-07-24,2018-08-11,United States,,,
crucible-brewing-everett-foundry-everett,Crucible Brewing - Everett Foundry,micro,909 SE Everett Mall Way Ste D440,,,Everett,Washington,,98208-3755,http://Www.cruciblebrewing.com,4253747293,2018-07-24,2020-10-11,United States,-122.220239,47.911765,
