park-tavern-brewery-atlanta,Park Tavern Brewery,brewpub,500 10th St NE,,,Atlanta,Georgia,,30309-4272,http://www.parktavern.com,4042490001,2018-07-24,2018-08-24,United States,-84.377744,33.781867,
perfect-fool-brewing-company-atlanta,Perfect Fool Brewing Company,planning,,,,Atlanta,Georgia,,30319,,,2018-07-24,2018-08-11,United States,,,
phantom-horse-brewing-rock-spring,Phantom Horse Brewing,brewpub,56-A Fieldstone Village Dr,,,Rock Spring,Georgia,,30739,http://www.phantomhorsebrewing.com,4233144978,2018-07-24,2018-08-11,United States,,,
piedmont-brewery-and-kitchen-macon,Piedmont Brewery and Kitchen,brewpub,450-B Third Street,,,Macon,Georgia,,31201,http://www.piedmontbrerwery.com,4782542337,2018-07-24,2018-08-11,United States,,,
pontoon-brewing-company-sandy-springs,Pontoon Brewing Company,micro,8601 Dunwoody Pl Bld 500 Ste 500,,,Sandy Springs,Georgia,,30350-2551,http://www.pontoonbrewing.com,7049293821,2018-07-24,2018-08-11,United States,,,
porter-pizza-brewery-sandy-springs,Porter Pizza & Brewery,brewpub,6370 Powers Ferry Rd NW,,,Sandy Springs,Georgia,,30339,http://www.porterpizzabrewery.com,,2018-07-24,2018-08-24,United States,-84.4304239,33.9043481,
pretoria-fields-collective-albany,Pretoria Fields Collective,micro,120 Pine Ave,,,Albany,Georgia,,31701-2529,http://www.pretoriafields.com,2295181770,2018-07-24,2018-08-24,United States,-84.149593,31.57858294,
printer-s-ale-manufacturing-co-carrollton,Printer's Ale Manufacturing Co.,micro,940 Columbia Dr,,,Carrollton,Georgia,,30117-8780,http://www.printers-ale.com,7708364253,2018-07-24,2018-08-24,United States,-85.10249657,33.61138945,
red-brick-brewing-co-atlanta-brewing-co-atlanta,Red Brick Brewing Co / Atlanta Brewing Co,micro,2323 Defoor Hills Rd NW,,,Atlanta,Georgia,,30318-2207,http://www.atlantabrewing.com,4043555558,2018-07-24,2018-08-24,United States,-84.43454138,33.81830375,
red-hare-brewing-company-marietta,Red Hare Brewing Company,micro,1998 Delk Industrial Blvd SE,,,Marietta,Georgia,,30067-8904,http://www.redharebrewing.com,6784010600,2018-07-24,2018-08-24,United States,-84.4957563,33.92440825,
reformation-brewery-woodstock,Reformation Brewery,micro,500 Arnold Mill Way Ste A,,,Woodstock,Georgia,,30188-6842,http://www.reformationbrewery.com,6783410828,2018-07-24,2018-08-11,United States,,,
rick-tanner-s-grille-bar-cherry-street-brewing-cooperative-cumming,Rick Tanner's Grille & Bar/Cherry Street Brewing Cooperative,brewpub,5810 Bond St # E-2,,,Cumming,Georgia,,30040-0301,http://www.rtanners.com,7702055512,2018-07-24,2018-08-11,United States,,,
riverwatch-brewery-augusta,Riverwatch Brewery,micro,1150 5th St Bldg 61,,,Augusta,Georgia,,30901-5861,http://www.riverwatchbrewery.com,7064217177,2018-07-24,2018-08-11,United States,,,
